"","year","id","age","race","sex","realrinc","educ","partyid","happy"
"27",2022,27,59,"other","male",40900,"12th grade","strong democrat","pretty happy"
"28",2022,28,86,"black","female",NA,"12th grade","strong democrat","pretty happy"
"29",2022,29,36,"other","male",NA,"4 years of college","not very strong democrat","not too happy"
"30",2022,30,79,"white","female",NA,"12th grade","strong republican","not too happy"
"31",2022,31,65,"other","male",33742.5,"2 years of college","independent (neither, no response)","pretty happy"
"32",2022,32,NA,NA,NA,NA,"12th grade","other party","not too happy"
"33",2022,33,76,"white","female",NA,"12th grade","independent (neither, no response)","pretty happy"
"34",2022,34,72,"white","female",NA,"4 years of college","independent, close to democrat","pretty happy"
"35",2022,35,62,"white","female",NA,"1 year of college","strong democrat","pretty happy"
"36",2022,36,46,"white","male",6646.25,"2 years of college","not very strong democrat","not too happy"
"37",2022,37,84,"white","male",NA,"3 years of college","other party","pretty happy"
"38",2022,38,79,"white","male",NA,"12th grade","independent, close to republican","pretty happy"
"39",2022,39,38,"white","female",33742.5,"4 years of college","independent (neither, no response)","pretty happy"
"40",2022,40,64,"white","male",49080,"1 year of college","not very strong republican","pretty happy"
"41",2022,41,49,"white","female",57260,"4 years of college","not very strong republican","pretty happy"
"42",2022,42,65,"white","female",NA,"3 years of college","independent, close to democrat","pretty happy"
"43",2022,43,29,"other","female",4601.25,"4 years of college","not very strong democrat","not too happy"
"44",2022,44,30,"black","male",18405,"6 years of college","independent (neither, no response)","pretty happy"
"45",2022,45,30,"black","female",NA,"2 years of college","independent (neither, no response)","pretty happy"
"46",2022,46,50,"black","female",49080,"5 years of college","independent, close to democrat","not too happy"
"47",2022,47,32,"black","female",18405,"12th grade","independent (neither, no response)","pretty happy"
"48",2022,48,52,"white","male",141848.32887,"4 years of college","strong republican","pretty happy"
"49",2022,49,89,"white","male",NA,"7 years of college","not very strong democrat","pretty happy"
"50",2022,50,70,"white","female",65440,"2 years of college","independent, close to republican","very happy"
"51",2022,51,59,"white","female",15337.5,"4 years of college","strong democrat","very happy"
"52",2022,52,46,"other","male",141848.32887,"4 years of college","not very strong democrat","very happy"
"53",2022,53,43,"other","female",NA,"4 years of college","independent, close to republican","pretty happy"
"54",2022,54,60,"white","male",40900,"12th grade","strong democrat","very happy"
"55",2022,55,38,"white","male",141848.32887,"12th grade","not very strong democrat","very happy"
"56",2022,56,66,"white","male",NA,"2 years of college","independent, close to republican","not too happy"
"57",2022,57,28,"black","female",13292.5,"2 years of college","independent, close to democrat",NA
"58",2022,58,20,"black","female",2658.5,"1 year of college","not very strong democrat","very happy"
"59",2022,59,62,"white","female",NA,"2 years of college","strong democrat","not too happy"
"60",2022,60,36,"white","female",NA,"12th grade","not very strong democrat","not too happy"
"61",2022,61,49,"white","female",11247.5,"10th grade","strong democrat","not too happy"
"62",2022,62,30,"white","female",NA,"12th grade","independent (neither, no response)","pretty happy"
"63",2022,63,62,"other","female",NA,"9th grade","strong republican","very happy"
"64",2022,64,70,NA,"female",NA,"4th grade","not very strong democrat","very happy"
"65",2022,65,73,"other","female",3681,"8th grade",NA,"not too happy"
"66",2022,66,34,"black","female",NA,"12th grade","independent (neither, no response)","not too happy"
"67",2022,67,47,"white","female",13292.5,"4 years of college","independent (neither, no response)","not too happy"
"68",2022,68,47,"white","female",NA,"3 years of college","independent, close to democrat","not too happy"
"69",2022,69,58,"black","female",27607.5,"5 years of college","not very strong democrat","pretty happy"
"70",2022,70,82,"black","female",NA,"12th grade","not very strong democrat","not too happy"
"71",2022,71,67,"black","male",NA,"12th grade","strong democrat","pretty happy"
"72",2022,72,41,"black","male",40900,"2 years of college","independent (neither, no response)","pretty happy"
"73",2022,73,32,"black","female",NA,"4 years of college","not very strong democrat","pretty happy"
"74",2022,74,65,"black","female",9713.75,"9th grade","not very strong democrat","pretty happy"
"75",2022,75,57,"black","female",NA,"6 years of college","strong democrat","not too happy"
"76",2022,76,55,"black","male",22495,"12th grade","strong democrat","not too happy"
"77",2022,77,86,"black","female",8691.25,"9th grade","strong democrat","not too happy"
"78",2022,78,31,"black","female",15337.5,"8 or more years of college","independent (neither, no response)","pretty happy"
"79",2022,79,62,"white","female",NA,"12th grade","not very strong republican","very happy"
"80",2022,80,23,"black","female",NA,"5 years of college","not very strong democrat",NA
"81",2022,81,NA,"black","female",22495,"4 years of college","strong democrat","very happy"
"82",2022,82,22,"black","female",NA,"2 years of college","independent, close to democrat","not too happy"
"83",2022,83,44,"white","male",27607.5,"3 years of college","strong democrat","pretty happy"
"84",2022,84,24,"other","female",NA,"3 years of college","independent (neither, no response)","pretty happy"
"85",2022,85,37,"black","male",NA,"6 years of college","strong democrat","pretty happy"
"86",2022,86,79,"white","male",40900,"8 or more years of college","independent, close to democrat","pretty happy"
"87",2022,87,22,"black","male",NA,"3 years of college","not very strong democrat","very happy"
"88",2022,88,34,"other","male",27607.5,"4 years of college","independent, close to democrat","not too happy"
"89",2022,89,26,"black","male",49080,"4 years of college","strong democrat","pretty happy"
"90",2022,90,29,NA,"male",NA,"5 years of college","strong democrat","pretty happy"
"91",2022,91,36,"white","female",33742.5,"4 years of college","independent, close to democrat","very happy"
"92",2022,92,29,"black","female",NA,"3 years of college","independent, close to democrat","pretty happy"
"93",2022,93,47,"other","male",27607.5,"12th grade","strong republican","not too happy"
"94",2022,94,58,"black","female",22495,"4 years of college","independent, close to democrat","very happy"
"95",2022,95,46,"white","male",15337.5,"4 years of college","strong democrat","not too happy"
"96",2022,96,29,"other","female",40900,"4 years of college","independent, close to democrat","pretty happy"
"97",2022,97,46,"white","female",22495,"4 years of college","not very strong republican","pretty happy"
"98",2022,98,71,"white","male",NA,"2 years of college","strong democrat","very happy"
"99",2022,99,28,"other","male",NA,"4 years of college","independent (neither, no response)","pretty happy"
"100",2022,100,38,"white","female",NA,"4 years of college","independent, close to republican","pretty happy"
"101",2022,101,25,"black","male",NA,"2 years of college","not very strong democrat","pretty happy"
"102",2022,102,34,"white","female",27607.5,"4 years of college","independent (neither, no response)","pretty happy"
"103",2022,103,26,"other","female",7668.75,"2 years of college","independent, close to democrat","pretty happy"
"104",2022,104,63,"white","male",13292.5,"4 years of college","not very strong democrat","not too happy"
"105",2022,105,82,"white","male",NA,"4 years of college","strong republican",NA
"106",2022,106,47,"white","male",49080,"6 years of college","strong republican","pretty happy"
"107",2022,107,40,"white","male",141848.32887,"4 years of college","independent (neither, no response)","pretty happy"
"108",2022,108,71,"other","male",NA,"5 years of college","independent (neither, no response)","pretty happy"
"109",2022,109,63,"white","female",NA,"1 year of college","strong republican","pretty happy"
"110",2022,110,89,"white","female",NA,"3 years of college","strong democrat","pretty happy"
"111",2022,111,61,"white","male",40900,"4 years of college","strong republican","very happy"
"112",2022,112,52,"other","male",15337.5,"12th grade","independent, close to democrat","very happy"
"113",2022,113,48,"black","male",65440,"3 years of college","not very strong democrat","not too happy"
"114",2022,114,40,"white","male",49080,"4 years of college","independent, close to democrat","pretty happy"
"115",2022,115,NA,"black","male",NA,"3 years of college","strong democrat","very happy"
"116",2022,116,44,"white","male",33742.5,"12th grade","independent (neither, no response)","very happy"
"117",2022,117,42,"other","male",13292.5,"12th grade","independent, close to democrat","pretty happy"
"118",2022,118,46,"other","male",22495,"4 years of college","independent (neither, no response)","pretty happy"
"119",2022,119,70,"white","female",NA,"9th grade","not very strong democrat","pretty happy"
"120",2022,120,20,"black","female",NA,"2 years of college","not very strong democrat","pretty happy"
"121",2022,121,36,"other","male",NA,"12th grade","independent, close to republican","very happy"
"122",2022,122,82,"white","male",NA,"2 years of college","independent (neither, no response)","pretty happy"
"123",2022,123,65,"white","female",27607.5,"4 years of college","independent (neither, no response)","not too happy"
"124",2022,124,64,"white","female",NA,"9th grade","not very strong republican","very happy"
"125",2022,125,69,NA,"female",11247.5,"12th grade","strong democrat","pretty happy"
"126",2022,126,NA,"other","male",NA,"4 years of college","independent, close to democrat","pretty happy"
"127",2022,127,65,"white","female",NA,"4 years of college","independent, close to democrat","not too happy"
"128",2022,128,52,"other","male",13292.5,"12th grade","independent, close to republican","pretty happy"
"129",2022,129,61,"white","male",8691.25,"4 years of college","strong republican","pretty happy"
"130",2022,130,31,"white","female",27607.5,"6 years of college","strong democrat","very happy"
"131",2022,131,40,"other","male",3067.5,"6 years of college","not very strong democrat","not too happy"
"132",2022,132,43,"other","male",27607.5,"6 years of college","not very strong democrat","pretty happy"
"133",2022,133,26,"black","male",22495,"5 years of college","independent, close to republican","pretty happy"
"134",2022,134,80,"white","male",NA,"12th grade","independent, close to democrat","pretty happy"
"135",2022,135,34,NA,"female",NA,"11th grade","not very strong democrat","not too happy"
"136",2022,136,26,"other","female",NA,"12th grade","independent (neither, no response)","not too happy"
"137",2022,137,56,"black","female",6646.25,"2 years of college","not very strong democrat","not too happy"
"138",2022,138,32,"black","female",NA,"12th grade","independent (neither, no response)","not too happy"
"139",2022,139,23,"white","female",18405,"4 years of college","strong democrat","very happy"
"140",2022,140,34,"white","female",49080,"4 years of college","strong democrat","not too happy"
"141",2022,141,NA,"other","female",NA,"7 years of college","not very strong democrat","pretty happy"
"142",2022,142,79,"black","male",NA,"4 years of college","not very strong democrat","pretty happy"
"143",2022,143,36,"black","male",40900,"6 years of college","independent, close to democrat","not too happy"
"144",2022,144,NA,"black","female",NA,"4 years of college",NA,"pretty happy"
"145",2022,145,69,"black","male",NA,"2 years of college","independent, close to democrat","pretty happy"
"146",2022,146,56,"black","female",NA,"2 years of college",NA,"very happy"
"147",2022,147,NA,"other","female",NA,"4 years of college","strong democrat","very happy"
"148",2022,148,36,"black","female",8691.25,"4 years of college","independent (neither, no response)","very happy"
"149",2022,149,NA,"black","female",NA,"4 years of college",NA,"pretty happy"
"150",2022,150,29,"black","male",57260,"6 years of college","independent, close to democrat","pretty happy"
"151",2022,151,44,"other","female",33742.5,"11th grade","strong democrat","pretty happy"
"152",2022,152,37,"other","male",NA,"10th grade","independent (neither, no response)","very happy"
"153",2022,153,70,"white","male",NA,"6 years of college","not very strong democrat","pretty happy"
"154",2022,154,NA,"white","female",NA,"1 year of college","not very strong democrat","not too happy"
"155",2022,155,62,"white","male",NA,"12th grade","independent, close to republican","pretty happy"
"156",2022,156,24,"white","female",18405,"4 years of college","independent, close to democrat","pretty happy"
"157",2022,157,83,"other","female",NA,"12th grade","strong democrat","pretty happy"
"158",2022,158,71,"white","male",NA,"5 years of college","independent (neither, no response)","pretty happy"
"159",2022,159,68,"white","male",40900,"4 years of college","not very strong democrat","pretty happy"
"160",2022,160,NA,NA,"female",NA,"12th grade",NA,NA
"161",2022,161,74,"other","male",40900,"7 years of college","independent (neither, no response)","very happy"
"162",2022,162,46,"black","female",27607.5,"4 years of college","independent (neither, no response)","pretty happy"
"163",2022,163,48,"other","male",15337.5,"5 years of college","independent (neither, no response)","not too happy"
"164",2022,164,55,"white","female",49080,"8 or more years of college","strong republican","very happy"
"165",2022,165,46,"white","female",NA,"12th grade","not very strong republican","very happy"
"166",2022,166,40,"white","female",57260,"6 years of college","strong democrat","very happy"
"167",2022,167,63,"white","female",NA,"4 years of college","independent, close to democrat","pretty happy"
"168",2022,168,65,"white","female",27607.5,"12th grade","strong republican","not too happy"
"169",2022,169,31,"white","female",22495,"6 years of college","independent (neither, no response)","very happy"
"170",2022,170,39,"white","male",15337.5,"1 year of college","other party","pretty happy"
"171",2022,171,51,"white","male",141848.32887,"8 or more years of college","independent (neither, no response)","not too happy"
"172",2022,172,34,"white","male",8691.25,"4 years of college","strong democrat","pretty happy"
"173",2022,173,29,"white","female",40900,"4 years of college","independent, close to republican","pretty happy"
"174",2022,174,87,"white","male",NA,"3 years of college","independent, close to republican","not too happy"
"175",2022,175,41,"white","female",40900,"4 years of college","strong democrat","very happy"
"176",2022,176,39,"other","female",8691.25,"2 years of college","independent (neither, no response)","pretty happy"
"177",2022,177,63,"black","female",18405,"4 years of college","not very strong democrat","pretty happy"
"178",2022,178,41,"white","female",1840.5,"4 years of college","not very strong democrat","not too happy"
"179",2022,179,68,"white","female",13292.5,"1 year of college","independent, close to republican","pretty happy"
"180",2022,180,74,"white","female",NA,"12th grade","strong democrat","very happy"
"181",2022,181,50,"black","female",2658.5,"3rd grade","not very strong republican","not too happy"
"182",2022,182,53,"black","female",40900,"6 years of college","strong democrat","pretty happy"
"183",2022,183,34,"other","male",5623.75,"4 years of college","independent, close to democrat","very happy"
"184",2022,184,62,"black","male",27607.5,"12th grade","strong democrat","very happy"
"185",2022,185,54,"other","female",40900,"4 years of college","independent (neither, no response)","pretty happy"
"186",2022,186,37,"white","female",33742.5,"4 years of college","independent, close to democrat","pretty happy"
"187",2022,187,65,"white","male",NA,"12th grade","strong democrat","pretty happy"
"188",2022,188,42,"white","male",49080,"4 years of college","strong republican","very happy"
"189",2022,189,47,"white","female",818,"12th grade","independent, close to democrat","pretty happy"
"190",2022,190,49,"white","male",141848.32887,"6 years of college","not very strong republican","pretty happy"
"191",2022,191,NA,"white","male",57260,"6 years of college","independent, close to democrat","very happy"
"192",2022,192,NA,"other","female",NA,"6 years of college","not very strong democrat","very happy"
"193",2022,193,64,"white","male",49080,"6 years of college","not very strong democrat","very happy"
"194",2022,194,60,"white","male",NA,"4 years of college","strong republican",NA
"195",2022,195,45,"white","male",65440,"12th grade","independent (neither, no response)","very happy"
"196",2022,196,56,"other","male",65440,"8 or more years of college","independent (neither, no response)","pretty happy"
"197",2022,197,30,"other","female",40900,"4 years of college","strong democrat","pretty happy"
"198",2022,198,74,"white","male",NA,"6 years of college","independent, close to republican","very happy"
"199",2022,199,NA,"black","male",NA,"4 years of college","independent (neither, no response)","pretty happy"
"200",2022,200,25,"white","female",22495,"1 year of college","not very strong democrat","pretty happy"
"201",2022,201,29,"white","male",NA,"4 years of college","not very strong republican","pretty happy"
"202",2022,202,29,NA,"male",NA,"5 years of college","not very strong democrat","not too happy"
"203",2022,203,29,"white","female",27607.5,"4 years of college","independent, close to democrat","pretty happy"
"204",2022,204,53,"white","male",141848.32887,"4 years of college","strong democrat","pretty happy"
"205",2022,205,72,"white","male",65440,"4 years of college","not very strong democrat","pretty happy"
"206",2022,206,74,"other","female",NA,"6 years of college","not very strong democrat","not too happy"
"207",2022,207,43,"other","male",40900,"7 years of college","independent, close to democrat","pretty happy"
"208",2022,208,36,"white","female",NA,"2 years of college","independent (neither, no response)","not too happy"
"209",2022,209,40,"white","female",2658.5,"5 years of college","not very strong republican","very happy"
"210",2022,210,60,"white","male",57260,"2 years of college","independent (neither, no response)","pretty happy"
"211",2022,211,35,"other","male",40900,"5 years of college","independent (neither, no response)","very happy"
"212",2022,212,44,"white","female",NA,"2 years of college","independent (neither, no response)","not too happy"
"213",2022,213,66,"other","male",27607.5,"5 years of college","not very strong republican","pretty happy"
"214",2022,214,32,"white","female",141848.32887,"12th grade","independent (neither, no response)","very happy"
"215",2022,215,36,"black","male",NA,"11th grade","strong democrat","pretty happy"
"216",2022,216,48,"black","female",22495,"3 years of college","not very strong democrat","pretty happy"
"217",2022,217,61,"white","male",11247.5,"3rd grade","independent (neither, no response)","pretty happy"
"218",2022,218,47,"other","male",22495,"12th grade","independent (neither, no response)","very happy"
"219",2022,219,44,"black","male",NA,"4 years of college","independent (neither, no response)","very happy"
"220",2022,220,57,"black","male",40900,"3 years of college","strong democrat","very happy"
"221",2022,221,75,"black","female",NA,"2 years of college","strong democrat","very happy"
"222",2022,222,31,"black","female",18405,"2 years of college","independent, close to democrat","pretty happy"
"223",2022,223,62,"white","female",NA,"no formal schooling","independent, close to republican","pretty happy"
"224",2022,224,50,"white","female",22495,"5 years of college","independent (neither, no response)","pretty happy"
"225",2022,225,39,"white","male",11247.5,"3 years of college","independent (neither, no response)","pretty happy"
"226",2022,226,33,"white","male",18405,"1 year of college","independent (neither, no response)","not too happy"
"227",2022,227,43,NA,"female",141848.32887,"4 years of college","strong democrat","pretty happy"
"228",2022,228,23,"other","female",5623.75,"4 years of college","not very strong democrat","pretty happy"
"229",2022,229,31,"white","female",33742.5,"4 years of college","strong democrat","pretty happy"
"230",2022,230,33,"white","male",18405,"7 years of college","not very strong republican","not too happy"
"231",2022,231,24,"other","male",1840.5,"12th grade","not very strong democrat","very happy"
"232",2022,232,23,"white","male",NA,"4 years of college","strong democrat","very happy"
"233",2022,233,58,"black","male",NA,"2 years of college","strong democrat","pretty happy"
"234",2022,234,39,"white","female",NA,"5 years of college","independent, close to democrat","not too happy"
"235",2022,235,56,"other","male",3067.5,"6th grade","not very strong democrat","not too happy"
"236",2022,236,71,"black","female",NA,"4 years of college","strong democrat","very happy"
"237",2022,237,56,"other","female",NA,"4 years of college","independent (neither, no response)","pretty happy"
"238",2022,238,41,"other","female",NA,"2 years of college","strong democrat","very happy"
"239",2022,239,27,"white","female",27607.5,"5 years of college","independent, close to democrat","pretty happy"
"240",2022,240,36,"white","male",18405,"12th grade","independent (neither, no response)","very happy"
"241",2022,241,59,"other","male",4601.25,"12th grade","independent (neither, no response)","pretty happy"
"242",2022,242,25,"black","male",818,"3 years of college","strong democrat","not too happy"
"243",2022,243,28,"black","female",18405,"8 or more years of college","independent (neither, no response)","not too happy"
"244",2022,244,70,"black","female",NA,"12th grade","strong democrat","very happy"
"245",2022,245,59,"black","male",11247.5,"4 years of college","independent, close to democrat","not too happy"
"246",2022,246,20,"other","female",NA,"3 years of college","independent (neither, no response)","very happy"
"247",2022,247,55,"white","male",6646.25,"3rd grade","independent (neither, no response)","not too happy"
"248",2022,248,22,"white","male",NA,"3 years of college","independent, close to democrat","not too happy"
"249",2022,249,51,"other","female",NA,"7th grade","independent (neither, no response)","not too happy"
"250",2022,250,21,"other","male",8691.25,"11th grade","independent (neither, no response)","pretty happy"
"251",2022,251,50,"white","female",4601.25,"11th grade","independent, close to democrat","pretty happy"
"252",2022,252,60,"white","female",NA,"7th grade","strong democrat","pretty happy"
"253",2022,253,66,"white","female",NA,"4 years of college","strong democrat","very happy"
"254",2022,254,23,"white","male",11247.5,"12th grade","not very strong democrat","pretty happy"
"255",2022,255,64,"other","female",NA,"6th grade","strong democrat","not too happy"
"256",2022,256,32,"other","male",7668.75,"2 years of college","not very strong republican","very happy"
"257",2022,257,26,"other","female",NA,"3 years of college","independent, close to democrat","very happy"
"258",2022,258,59,"white","female",15337.5,"12th grade","strong republican","pretty happy"
"259",2022,259,81,"black","female",NA,"6 years of college","strong democrat","very happy"
"260",2022,260,36,"white","male",18405,"5 years of college","strong republican","pretty happy"
"261",2022,261,29,"other","female",NA,"1 year of college","strong republican","very happy"
"262",2022,262,57,"white","female",NA,"11th grade","not very strong republican","very happy"
"263",2022,263,50,"other","male",NA,"1 year of college","independent (neither, no response)","pretty happy"
"264",2022,264,38,"white","female",33742.5,"8 or more years of college","strong democrat","pretty happy"
"265",2022,265,29,"black","female",49080,"5 years of college","not very strong democrat","pretty happy"
"266",2022,266,NA,"other","male",2658.5,"12th grade","independent (neither, no response)","pretty happy"
"267",2022,267,37,"white","female",18405,"8 or more years of college","strong democrat","very happy"
"268",2022,268,30,"white","female",33742.5,"4 years of college","strong democrat","not too happy"
"269",2022,269,19,"other","male",NA,"1 year of college",NA,"pretty happy"
"270",2022,270,52,"white","male",22495,"4 years of college","strong democrat","pretty happy"
"271",2022,271,69,"white","male",22495,"7 years of college","not very strong democrat","pretty happy"
"272",2022,272,66,"white","female",141848.32887,"8 or more years of college","not very strong democrat","pretty happy"
"273",2022,273,45,"white","female",49080,"6 years of college","strong democrat","pretty happy"
"274",2022,274,33,"white","male",3681,"1 year of college","other party","pretty happy"
"275",2022,275,55,"black","male",65440,"8 or more years of college","independent (neither, no response)","very happy"
"276",2022,276,46,"white","female",NA,"9th grade","independent (neither, no response)","not too happy"
"277",2022,277,57,"white","male",141848.32887,"4 years of college","strong republican","not too happy"
"278",2022,278,42,"black","male",NA,"2 years of college","strong democrat","not too happy"
"279",2022,279,58,"other","male",NA,"2 years of college","strong democrat","not too happy"
"280",2022,280,37,"other","female",40900,"7 years of college","independent (neither, no response)","pretty happy"
"281",2022,281,68,"white","female",NA,"2 years of college","independent (neither, no response)","pretty happy"
"282",2022,282,68,"other","female",NA,"3 years of college","independent, close to democrat","pretty happy"
"283",2022,283,35,"other","female",NA,"12th grade","independent (neither, no response)","not too happy"
"284",2022,284,41,"other","female",NA,"3 years of college","not very strong democrat","pretty happy"
"285",2022,285,28,"white","male",18405,"2 years of college","not very strong democrat","pretty happy"
"286",2022,286,53,"white","female",27607.5,"4 years of college","strong democrat","pretty happy"
"287",2022,287,63,"white","female",33742.5,"12th grade","not very strong republican","pretty happy"
"288",2022,288,71,"white","female",NA,"6 years of college","strong democrat","pretty happy"
"289",2022,289,56,"white","female",6646.25,"12th grade","independent (neither, no response)","pretty happy"
"290",2022,290,44,"white","female",1840.5,"2 years of college","not very strong republican","pretty happy"
"291",2022,291,26,"white","female",1840.5,"12th grade","not very strong republican","not too happy"
"292",2022,292,67,"white","female",57260,"8 or more years of college","independent (neither, no response)","very happy"
"293",2022,293,49,"white","male",8691.25,"8th grade","not very strong republican","pretty happy"
"294",2022,294,32,"other","male",NA,"4 years of college","not very strong democrat","very happy"
"295",2022,295,39,"other","female",40900,"12th grade","independent, close to republican","pretty happy"
"296",2022,296,61,"white","female",NA,"12th grade","not very strong democrat","pretty happy"
"297",2022,297,55,"other","female",49080,"5 years of college","other party","pretty happy"
"298",2022,298,65,"white","male",NA,"4 years of college","not very strong republican","not too happy"
"299",2022,299,61,"white",NA,NA,"11th grade","independent, close to democrat","not too happy"
"300",2022,300,28,"white","female",5623.75,"12th grade","independent, close to democrat","pretty happy"
"301",2022,301,60,"white","female",NA,"4 years of college","strong republican","pretty happy"
"302",2022,302,63,"other","male",NA,"3 years of college","strong democrat","very happy"
"303",2022,303,78,"white","female",NA,"5 years of college","strong republican","very happy"
"304",2022,304,23,"white","male",15337.5,"12th grade","independent (neither, no response)","not too happy"
"305",2022,305,60,"white","female",NA,"1 year of college","not very strong republican","pretty happy"
"306",2022,306,26,"white","female",7668.75,"12th grade","not very strong democrat","not too happy"
"307",2022,307,54,"other","male",NA,"6th grade","independent (neither, no response)","pretty happy"
"308",2022,308,83,"white","female",NA,"12th grade","strong democrat","not too happy"
"309",2022,309,65,"white","male",NA,"4 years of college","independent, close to republican","not too happy"
"310",2022,310,39,"white","male",11247.5,"12th grade","independent (neither, no response)","very happy"
"311",2022,311,68,"other","female",11247.5,"12th grade","strong democrat","pretty happy"
"312",2022,312,66,"black","female",NA,"5 years of college","independent, close to republican","pretty happy"
"313",2022,313,75,"black","male",NA,"4 years of college","strong democrat","pretty happy"
"314",2022,314,36,"other","male",40900,"4 years of college","independent (neither, no response)","very happy"
"315",2022,315,64,"other","male",NA,"9th grade","independent, close to democrat","pretty happy"
"316",2022,316,89,"white","male",NA,"11th grade","not very strong democrat","not too happy"
"317",2022,317,NA,"white","male",27607.5,"12th grade","strong republican","pretty happy"
"318",2022,318,73,"white","male",NA,"4 years of college","not very strong democrat","not too happy"
"319",2022,319,56,"black","male",27607.5,"12th grade","independent, close to republican","pretty happy"
"320",2022,320,33,NA,"male",NA,"4 years of college","independent (neither, no response)","very happy"
"321",2022,321,23,"other","male",13292.5,"4 years of college","not very strong democrat","pretty happy"
"322",2022,322,54,"white","male",NA,"2 years of college","not very strong republican","pretty happy"
"323",2022,323,22,"black","female",NA,"12th grade","independent (neither, no response)","not too happy"
"324",2022,324,22,"white","male",18405,"12th grade","independent (neither, no response)","very happy"
"325",2022,325,30,"other","female",27607.5,"12th grade","independent (neither, no response)","pretty happy"
"326",2022,326,52,"white","female",40900,"6 years of college","independent, close to democrat","pretty happy"
"327",2022,327,NA,"white",NA,NA,"11th grade","independent (neither, no response)","very happy"
"328",2022,328,47,"black","female",27607.5,"4 years of college","strong democrat","pretty happy"
"329",2022,329,54,"other","female",22495,"2 years of college","not very strong republican","not too happy"
"330",2022,330,33,"other","male",27607.5,"4 years of college","not very strong democrat","not too happy"
"331",2022,331,20,"other","male",818,"12th grade","strong democrat","pretty happy"
"332",2022,332,48,"other","female",6646.25,"6th grade","independent, close to republican","not too happy"
"333",2022,333,NA,"white","male",NA,"4 years of college","independent (neither, no response)","pretty happy"
"334",2022,334,35,"other","female",4601.25,"11th grade","independent (neither, no response)","pretty happy"
"335",2022,335,NA,"white","female",NA,"3 years of college",NA,"pretty happy"
"336",2022,336,39,"white","female",11247.5,"12th grade","strong democrat","very happy"
"337",2022,337,39,"white","male",27607.5,"4 years of college","independent, close to democrat","pretty happy"
"338",2022,338,31,"other","male",27607.5,"12th grade","independent (neither, no response)","very happy"
"339",2022,339,37,"other","female",NA,"10th grade","independent (neither, no response)","pretty happy"
"340",2022,340,30,"other","female",6646.25,"4 years of college","independent (neither, no response)","pretty happy"
"341",2022,341,24,"white","female",13292.5,"5 years of college","not very strong democrat","pretty happy"
"342",2022,342,26,"other","male",7668.75,"2 years of college","independent, close to republican","pretty happy"
"343",2022,343,21,"white","male",11247.5,"2 years of college","not very strong democrat","not too happy"
"344",2022,344,66,"white","male",NA,"1 year of college","strong republican","pretty happy"
"345",2022,345,33,"white","female",3681,"2 years of college","strong democrat","very happy"
"346",2022,346,67,"white","male",33742.5,"10th grade","independent (neither, no response)","not too happy"
"347",2022,347,74,"other","male",18405,"6th grade","strong democrat","pretty happy"
"348",2022,348,47,"other","male",18405,"2 years of college","independent (neither, no response)","pretty happy"
"349",2022,349,24,"white","male",11247.5,"12th grade","not very strong democrat","pretty happy"
"350",2022,350,57,"other","female",7668.75,"2 years of college","independent (neither, no response)","very happy"
"351",2022,351,23,"white","male",NA,"12th grade","strong republican","pretty happy"
"352",2022,352,56,"black","female",65440,"7 years of college","strong democrat","pretty happy"
